model,run_dir,train_lr,train_loss,test_loss,test_acc1,test_acc5,epoch,n_parameters
repvit_m0_9,DL project/Rudra's contribution/experiment_logs/repvit_m0_9,0.0002466843904477225,4.47719111198034,4.15418131846302,17.33000047607422,42.61000126953125,16,4757060
repvit_m0_9,DL project/Rudra's contribution/experiment_logs/repvit_m0_9,0.00024622997933543386,4.467721387667534,4.104219009291451,19.18000068359375,44.87000131835938,17,4757060
repvit_m0_9,DL project/Rudra's contribution/experiment_logs/repvit_m0_9,0.00024574689021493484,4.4643531567011125,4.090790546165322,19.520000646972655,45.790001391601564,18,4757060
repvit_m0_9,DL project/Rudra's contribution/experiment_logs/repvit_m0_9,0.00024523524228123317,4.45103678825574,4.065617471371057,20.26000057373047,45.99000107421875,19,4757060
repvit_m0_9,DL project/Rudra's contribution/experiment_logs/repvit_m0_9,0.00024469516177580056,4.450746391981076,4.084915930370115,20.8100005859375,46.52000126953125,20,4757060
repvit_m0_9,DL project/Rudra's contribution/experiment_logs/repvit_m0_9,0.00024412678195541787,4.450454375682733,4.040129180224437,20.610000604248047,47.30000126953125,21,4757060
repvit_m0_9,DL project/Rudra's contribution/experiment_logs/repvit_m0_9,0.0002435302430593043,4.444332636319674,4.036015195666619,21.54000056152344,46.85000122070313,22,4757060
repvit_m0_9,DL project/Rudra's contribution/experiment_logs/repvit_m0_9,0.00024290569227450665,4.438232472004034,4.01653772480083,22.720000500488283,48.930001025390624,23,4757060
repvit_m0_9,DL project/Rudra's contribution/experiment_logs/repvit_m0_9,0.00024225328369958512,4.422913155188927,4.0096697717342735,22.40000061035156,49.02000102539063,24,4757060
repvit_m0_9,DL project/Rudra's contribution/experiment_logs/repvit_m0_9,0.0002415731783065901,4.427549695968628,3.9773373423882252,23.1300005859375,49.55000126953125,25,4757060
repvit_m0_9,DL project/Rudra's contribution/experiment_logs/repvit_m0_9,0.0002408655439013567,4.428814255885589,4.003772236266226,23.570000665283203,50.180001147460935,26,4757060
repvit_m0_9,DL project/Rudra's contribution/experiment_logs/repvit_m0_9,0.00024013055508207885,4.422102807118343,3.9567703885852166,23.58000067138672,50.79000119628906,27,4757060
repvit_m0_9,DL project/Rudra's contribution/experiment_logs/repvit_m0_9,0.00023936839319625353,4.420021593876374,3.956361842605303,23.6800005859375,50.480001171875,28,4757060
repvit_m0_9,DL project/Rudra's contribution/experiment_logs/repvit_m0_9,0.00023857924629592123,4.41330108764844,3.959654650598202,24.26000057373047,50.570001220703126,29,4757060
repvit_m0_9,DL project/Rudra's contribution/experiment_logs/repvit_m0_9,0.00023776330909127278,4.40946987469991,3.9292336454931296,24.400000622558593,51.33000124511719,30,4757060
repvit_m0_9,DL project/Rudra's contribution/experiment_logs/repvit_m0_9,0.00023692078290260513,4.403200731521998,3.9515307714354315,25.070000573730468,51.61000119628906,31,4757060
repvit_m0_9,DL project/Rudra's contribution/experiment_logs/repvit_m0_9,0.00023605187561064167,4.4079703832284,3.9396326047069623,24.980000622558595,50.38000144042969,32,4757060
repvit_m0_9,DL project/Rudra's contribution/experiment_logs/repvit_m0_9,0.00023515680160526473,4.406188720311874,3.908964364033825,25.180000732421874,51.42000139160156,33,4757060
repvit_m0_9,DL project/Rudra's contribution/experiment_logs/repvit_m0_9,0.0002342357817325817,4.397362920565483,3.9017145498743595,26.310000549316406,52.86000119628906,34,4757060
repvit_m0_9,DL project/Rudra's contribution/experiment_logs/repvit_m0_9,0.0002332890432404744,4.392989445955325,3.8955678624926873,26.760000720214844,52.780001318359375,35,4757060
